0.1,238.256,238.256,238.256,,,,,,,,,0.1,2007.85,2046.1,3111.63
0.2,211.535,211.535,243.563,,,,,,,,,0.2,989.418,1060.43,2618.56
0.3,207.808,212.983,219.132,,,,,,,,,0.3,908.25,909.845,2135.46
0.4,168.46,174.688,191.928,,,,,,,,,0.4,822.918,858.954,1660.16
0.5,163.088,174.688,220.996,,,,,,,,,0.5,745.376,861.47,1452.58
0.6,155.514,167.714,184.607,,,,,,,,,0.6,720.681,829.773,1194.55
0.7,146.899,161.686,173.544,,,,,,,,,0.7,715.887,820.629,1017.67
0.8,146.899,161.686,175.842,,,,,,,,,0.8,713.056,809.341,890.911
0.9,146.712,154.16,158.509,,,,,,,,,0.9,712.753,794.882,799.541
1,146.058,146.058,146.058,,,,,,,,,1,712.229,712.229,712.229
heartdisease,,,,,,,,,,,,parkinsons,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0.1,322.865,335.207,345.892,,,,,,,,,0.1,5380.44,3837.1,5255.4
0.2,170.12,170.12,311.491,,,,,,,,,0.2,5258.75,2754.01,4662.08
0.3,116.312,125.624,255.344,,,,,,,,,0.3,3261.83,2573.61,4167.28
0.4,101.761,106.947,222.316,,,,,,,,,0.4,3064.55,2461.87,3781.55
0.5,93.7759,100.876,215.202,,,,,,,,,0.5,3119.45,2436.41,3503.42
0.6,91.1659,100.131,196.228,,,,,,,,,0.6,2207.52,2364.79,3157.91
0.7,87.2644,86.718,168.569,,,,,,,,,0.7,2157.22,2276.63,2892.85
0.8,85.1833,86.7254,141.602,,,,,,,,,0.8,2132.07,2167.91,2626.44
0.9,84.1718,86.0711,104.466,,,,,,,,,0.9,2103.21,2116.19,2350.07
1,84.143,84.143,84.143,,,,,,,,,1,2090.39,2090.39,2090.39
hcv,,,,,,,,,,,,stundenteval,,,
